Season,Month,mean.cov.rate,VE.H1,VE.H3
2010,8,0.013,0.66,0.54
2010,9,0.076,0.66,0.54
2010,10,0.248,0.66,0.54
2010,11,0.347,0.66,0.54
2010,12,0.378,0.66,0.54
2011,1,0.403,0.66,0.54
2011,2,0.416,0.66,0.54
2011,3,0.424,0.66,0.54
2011,4,0.428,0.66,0.54
2011,5,0.43,0.66,0.54
2011,8,0.018,0.65,0.39
2011,9,0.086,0.65,0.39
2011,10,0.252,0.65,0.39
2011,11,0.344,0.65,0.39
2011,12,0.372,0.65,0.39
2012,1,0.393,0.65,0.39
2012,2,0.405,0.65,0.39
2012,3,0.412,0.65,0.39
2012,4,0.416,0.65,0.39
2012,5,0.418,0.65,0.39
2012,7,0.005,0,0.39
2012,8,0.024,0,0.39
2012,9,0.089,0,0.39
2012,10,0.249,0,0.39
2012,11,0.341,0,0.39
2012,12,0.38,0,0.39
2013,1,0.416,0,0.39
2013,2,0.434,0,0.39
2013,3,0.442,0,0.39
2013,4,0.447,0,0.39
2013,5,0.45,0,0.39
2013,7,0.005,0.54,0
2013,8,0.023,0.54,0
2013,9,0.094,0.54,0
2013,10,0.273,0.54,0
2013,11,0.368,0.54,0
2013,12,0.404,0.54,0
2014,1,0.433,0.54,0
2014,2,0.448,0.54,0
2014,3,0.455,0.54,0
2014,4,0.459,0.54,0
2014,5,0.462,0.54,0
2014,7,0.005,0,0.06
2014,8,0.022,0,0.06
2014,9,0.094,0,0.06
2014,10,0.28,0,0.06
2014,11,0.379,0,0.06
2014,12,0.417,0,0.06
2015,1,0.442,0,0.06
2015,2,0.457,0,0.06
2015,3,0.464,0,0.06
2015,4,0.469,0,0.06
2015,5,0.471,0,0.06
2015,7,0.006,0.45,0
2015,8,0.024,0.45,0
2015,9,0.092,0.45,0
2015,10,0.267,0.45,0
2015,11,0.361,0.45,0
2015,12,0.395,0.45,0
2016,1,0.421,0.45,0
2016,2,0.436,0.45,0
2016,3,0.446,0.45,0
2016,4,0.452,0.45,0
2016,5,0.456,0.45,0
2016,7,0.006,0,0.33
2016,8,0.026,0,0.33
2016,9,0.102,0,0.33
2016,10,0.272,0,0.33
2016,11,0.362,0,0.33
2016,12,0.398,0,0.33
2017,1,0.427,0,0.33
2017,2,0.446,0,0.33
2017,3,0.455,0,0.33
2017,4,0.462,0,0.33
2017,5,0.468,0,0.33
2017,7,0.006,0.62,0.22
2017,8,0.024,0.62,0.22
2017,9,0.093,0.62,0.22
2017,10,0.246,0.62,0.22
2017,11,0.324,0.62,0.22
2017,12,0.355,0.62,0.22
2018,1,0.383,0.62,0.22
2018,2,0.4,0.62,0.22
2018,3,0.409,0.62,0.22
2018,4,0.414,0.62,0.22
2018,5,0.417,0.62,0.22
2018,7,0.005,0.44,0.09
2018,8,0.024,0.44,0.09
2018,9,0.101,0.44,0.09
2018,10,0.286,0.44,0.09
2018,11,0.379,0.44,0.09
2018,12,0.417,0.44,0.09
2019,1,0.449,0.44,0.09
2019,2,0.469,0.44,0.09
2019,3,0.481,0.44,0.09
2019,4,0.487,0.44,0.09
2019,5,0.492,0.44,0.09
2019,7,0.006,0.3,0
2019,8,0.027,0.3,0
2019,9,0.113,0.3,0
2019,10,0.313,0.3,0
2019,11,0.413,0.3,0
2019,12,0.454,0.3,0
2020,1,0.485,0.3,0
2020,2,0.506,0.3,0
2020,3,0.513,0.3,0
2020,4,0.516,0.3,0
2020,5,0.518,0.3,0
2020,7,0.005,,
2020,8,0.027,,
2020,9,0.132,,
2020,10,0.332,,
2020,11,0.417,,
2020,12,0.448,,
2021,1,0.471,,
2021,2,0.488,,
2021,3,0.503,,
2021,4,0.513,,
2021,5,0.521,,
2021,8,0.01,,
2021,9,0.082,,
2021,10,0.245,,
2021,11,0.337,,
2021,12,0.372,,
