"","YEAR","WEEK","inci.B"
"1",2004,1,9148.86048063345
"2",2004,2,4873.73904794053
"3",2004,3,3459.08534801903
"4",2004,4,3238.497632213
"5",2004,5,2290.16704944658
"6",2004,6,5471.85648751622
"7",2004,7,9728.28662106181
"8",2004,8,14185.4014727415
"9",2004,9,8894.07842937773
"10",2004,10,7780.755492521
"11",2004,11,2659.68987757984
"12",2004,12,22473.0933395222
"13",2004,13,11227.1338828462
"14",2004,14,10548.8945052902
"15",2004,15,18739.6974036772
"16",2004,16,17572.4638326077
"17",2004,17,10150.8552027423
"18",2004,18,10227.6557094602
"19",2004,19,3715.44065109718
"20",2004,20,6446.2896552174
"21",2004,21,6687.7215284916
"22",2004,22,12471.2529897314
"23",2004,23,5471.07616246073
"24",2004,24,4582.85298382353
"25",2004,25,2823.49146513539
"26",2004,26,4506.73631051729
"27",2004,27,4020.62155006267
"28",2004,28,6756.17097754141
"29",2004,29,7176.52770754112
"30",2004,30,NA
"31",2004,31,2928.72406935155
"32",2004,32,0
"33",2004,33,3652.76992726342
"34",2004,34,3115.33920695462
"35",2004,35,0
"36",2004,36,9378.83206526958
"37",2004,37,6131.9475178671
"38",2004,38,3054.83869611735
"39",2004,39,6202.21259240437
"40",2004,40,5659.0296575342
"41",2004,41,1393.56409187983
"42",2004,42,14231.4856703267
"43",2004,43,8996.22927419123
"44",2004,44,20425.3329156751
"45",2004,45,29938.2841260353
"46",2004,46,23989.4875007703
"47",2004,47,31626.0955179692
"48",2004,48,34332.0604966172
"49",2004,49,35470.36156343
"50",2004,50,49093.9054159961
"51",2004,51,77152.3940302372
"52",2004,52,159831.590836066
"53",2005,1,153594.49918279
"54",2005,2,177402.396430631
"55",2005,3,227146.095214961
"56",2005,4,344541.099134365
"57",2005,5,573834.056754992
"58",2005,6,667777.431814412
"59",2005,7,810048.722034305
"60",2005,8,783095.85717002
"61",2005,9,621157.498374385
"62",2005,10,513053.758613753
"63",2005,11,567082.98771038
"64",2005,12,541015.875495829
"65",2005,13,372417.065305509
"66",2005,14,244729.918226641
"67",2005,15,153259.015192026
"68",2005,16,94275.9077385357
"69",2005,17,58148.2772101529
"70",2005,18,46648.6594022806
"71",2005,19,30054.1437922981
"72",2005,20,26519.8071833702
"73",2005,21,32747.2291727803
"74",2005,22,32939.2194686654
"75",2005,23,15200.6248252751
"76",2005,24,20320.6531628148
"77",2005,25,11460.0780748084
"78",2005,26,2061.32236869116
"79",2005,27,9274.44571211931
"80",2005,28,4359.05546912047
"81",2005,29,4289.53989417775
"82",2005,30,1763.3117390783
"83",2005,31,NA
"84",2005,32,0
"85",2005,33,0
"86",2005,34,0
"87",2005,35,1908.93072575528
"88",2005,36,0
"89",2005,37,1840.94805745088
"90",2005,38,0
"91",2005,39,1681.1238317764
"92",2005,40,1683.89095948915
"93",2005,41,2863.50355231985
"94",2005,42,7033.86711984516
"95",2005,43,2395.63571607789
"96",2005,44,3859.8507193916
"97",2005,45,8356.22896593964
"98",2005,46,4235.02445076969
"99",2005,47,4377.73593310874
"100",2005,48,2168.45360074111
"101",2005,49,10163.4512705514
"102",2005,50,6448.02270329327
"103",2005,51,15475.8346293906
"104",2005,52,35746.824605477
"105",2006,1,26936.1733029394
"106",2006,2,20508.3067710413
"107",2006,3,28346.5336651017
"108",2006,4,32213.9749641316
"109",2006,5,72606.5979807716
"110",2006,6,145597.264381257
"111",2006,7,188584.919178893
"112",2006,8,268695.738095262
"113",2006,9,418922.473389404
"114",2006,10,431135.973368741
"115",2006,11,463688.824085214
"116",2006,12,434792.186319566
"117",2006,13,484385.144869588
"118",2006,14,341770.539081498
"119",2006,15,241653.62224108
"120",2006,16,211927.601864597
"121",2006,17,156271.29181909
"122",2006,18,146028.634303946
"123",2006,19,132123.700100066
"124",2006,20,102346.006557416
"125",2006,21,120057.282139891
"126",2006,22,77435.5390307471
"127",2006,23,76123.6753195164
"128",2006,24,21854.8393908529
"129",2006,25,19609.7547950733
"130",2006,26,14446.3740232108
"131",2006,27,5742.2145694896
"132",2006,28,0
"133",2006,29,5853.62710261769
"134",2006,30,5829.86896797173
"135",2006,31,2790.23001918758
"136",2006,32,5428.79944751523
"137",2006,33,6038.43566787401
"138",2006,34,7368.86423408558
"139",2006,35,10509.2409867318
"140",2006,36,0
"141",2006,37,2467.84519045708
"142",2006,38,5662.25048289614
"143",2006,39,8233.48935340693
"144",2006,40,23383.8965371388
"145",2006,41,11384.0289959532
"146",2006,42,25657.3831189851
"147",2006,43,23924.5072328727
"148",2006,44,40316.6305508608
"149",2006,45,40764.4303113323
"150",2006,46,31100.6434498185
"151",2006,47,33762.7121386668
"152",2006,48,47728.4509547603
"153",2006,49,59518.8654616151
"154",2006,50,128481.727842894
"155",2006,51,156974.778883699
"156",2006,52,169441.413798766
"157",2007,1,87214.6768677565
"158",2007,2,74746.4077709666
"159",2007,3,77385.7991958262
"160",2007,4,156548.26063829
"161",2007,5,208564.515626809
"162",2007,6,428712.491337051
"163",2007,7,417433.861843385
"164",2007,8,504252.615214663
"165",2007,9,520666.190440045
"166",2007,10,449952.972496229
"167",2007,11,452381.175864105
"168",2007,12,336263.712060947
"169",2007,13,181418.360783862
"170",2007,14,136686.19975726
"171",2007,15,135165.277048146
"172",2007,16,74071.6132278805
"173",2007,17,72086.0310490085
"174",2007,18,54287.8397506519
"175",2007,19,43586.8671142501
"176",2007,20,29715.9783839815
"177",2007,21,18697.8214031717
"178",2007,22,14927.0501456128
"179",2007,23,5374.67572769221
"180",2007,24,10202.2063502174
"181",2007,25,3115.69951991422
"182",2007,26,6276.36042568436
"183",2007,27,8904.55644264029
"184",2007,28,2750.75248895115
"185",2007,29,1530.25087755847
"186",2007,30,3416.64297966216
"187",2007,31,2643.96764153115
"188",2007,32,6103.48427292661
"189",2007,33,0
"190",2007,34,1771.54583707011
"191",2007,35,12545.5020016542
"192",2007,36,0
"193",2007,37,13777.280190709
"194",2007,38,8716.13031760104
"195",2007,39,0
"196",2007,40,6796.04021564286
"197",2007,41,0
"198",2007,42,2548.2617203465
"199",2007,43,6459.71813145958
"200",2007,44,13444.4298311726
"201",2007,45,13423.7945775241
"202",2007,46,2438.97976705273
"203",2007,47,19209.7513844756
"204",2007,48,14583.7286283777
"205",2007,49,22154.8333166539
"206",2007,50,26630.5822158032
"207",2007,51,50838.1790166237
"208",2007,52,103301.747213181
"209",2008,1,106925.253073904
"210",2008,2,139796.751883473
"211",2008,3,191053.196366997
"212",2008,4,363207.265498395
"213",2008,5,658261.735605202
"214",2008,6,981705.543477916
"215",2008,7,1174939.13014713
"216",2008,8,1280017.9770439
"217",2008,9,1128018.40621853
"218",2008,10,1004965.58741312
"219",2008,11,864920.049018199
"220",2008,12,730978.659304301
"221",2008,13,621344.088664325
"222",2008,14,436652.274325177
"223",2008,15,335880.274825336
"224",2008,16,219498.308415429
"225",2008,17,120390.181588371
"226",2008,18,87408.4947262127
"227",2008,19,46854.4851049503
"228",2008,20,24453.0914644624
"229",2008,21,21387.9304485189
"230",2008,22,17194.7755191696
"231",2008,23,7295.99029769788
"232",2008,24,12570.2842831829
"233",2008,25,3658.5392230298
"234",2008,26,11375.4313783756
"235",2008,27,5939.32210559922
"236",2008,28,7482.39182363551
"237",2008,29,3888.11866765306
"238",2008,30,0
"239",2008,31,8136.49847824005
"240",2008,32,2078.91471217477
"241",2008,33,2291.39992158449
"242",2008,34,6231.48188600123
"243",2008,35,5848.8847758275
"244",2008,36,0
"245",2008,37,3319.64582644228
"246",2008,38,5377.22033596546
"247",2008,39,3126.93861153806
"248",2008,40,6775.77422743428
"249",2008,41,6556.52170886308
"250",2008,42,6305.48369317173
"251",2008,43,14429.6182092248
"252",2008,44,6015.18197595337
"253",2008,45,10499.4850574765
"254",2008,46,10613.345950285
"255",2008,47,21266.856712053
"256",2008,48,20134.962509121
"257",2008,49,14317.6246893068
"258",2008,50,32098.2776544402
"259",2008,51,47381.1248639295
"260",2008,52,49104.2296168778
"261",2008,53,46788.8715491588
"262",2009,1,53439.6403217139
"263",2009,2,73879.6333757944
"264",2009,3,143622.874020399
"265",2009,4,287654.330945755
"266",2009,5,512865.910236027
"267",2009,6,762413.636348449
"268",2009,7,777102.540868916
"269",2009,8,916673.498375855
"270",2009,9,962892.905153244
"271",2009,10,834246.488927566
"272",2009,11,714492.048395126
"273",2009,12,492630.447160038
"274",2009,13,411883.671108351
"275",2009,14,248532.493994608
"276",2009,15,156580.056151657
"277",2009,16,104259.241925888
"278",2009,17,201685.321427461
"279",2009,18,104607.026460012
"280",2009,19,55672.325778161
"281",2009,20,70539.8837848723
"282",2009,21,40202.0188598826
"283",2009,22,17240.5729671725
"284",2009,23,8385.38597367847
"285",2009,24,3996.56611867993
"286",2009,25,2607.83234329174
"287",2009,26,3066.6827555818
"288",2009,27,2622.98966245398
"289",2009,28,1113.74765660412
"290",2009,29,1211.29228228397
"291",2009,30,1536.59972880601
"292",2009,31,810.350936308261
"293",2009,32,2079.8166138
"294",2009,33,503.669367822816
"295",2009,34,9781.93052987395
"296",2009,35,877.89985795365
"297",2009,36,8147.36095615539
"298",2009,37,3011.57462175478
"299",2009,38,8076.04905257586
"300",2009,39,11008.8359900513
"301",2009,40,15244.8778355914
"302",2009,41,13006.2030539457
"303",2009,42,23793.0706313926
"304",2009,43,13743.5721327256
"305",2009,44,18725.1277885117
"306",2009,45,9775.82355234807
"307",2009,46,7608.56957992994
"308",2009,47,3980.94696470669
"309",2009,48,18753.1750977307
"310",2009,49,10717.4852816065
"311",2009,50,8946.05294200533
"312",2009,51,3877.96785483045
"313",2009,52,7714.08523880012
"314",2010,1,7108.25225083236
"315",2010,2,7077.50517081308
"316",2010,3,700.936122526991
"317",2010,4,6372.52126564617
"318",2010,5,7808.99812464931
"319",2010,6,6971.31731666666
"320",2010,7,5094.35122170044
"321",2010,8,2284.30676725971
"322",2010,9,4564.87664016746
"323",2010,10,9984.56242299819
"324",2010,11,3235.28792246825
"325",2010,12,8989.27987612821
"326",2010,13,5121.22359291398
"327",2010,14,790.323739652125
"328",2010,15,7082.3653743306
"329",2010,16,12471.5719352815
"330",2010,17,3955.25649207153
"331",2010,18,3333.26969158497
"332",2010,19,4914.92833315608
"333",2010,20,3618.16549070334
"334",2010,21,2485.59269156846
"335",2010,22,3470.07398233058
"336",2010,23,4085.0887124077
"337",2010,24,4178.55207100552
"338",2010,25,0
"339",2010,26,1477.02971007383
"340",2010,27,0
"341",2010,28,2954.88378269221
"342",2010,29,4291.83466870051
"343",2010,30,6705.03765871576
"344",2010,31,1601.31314616968
"345",2010,32,14092.5784450242
"346",2010,33,4363.12467040936
"347",2010,34,7473.92682729693
"348",2010,35,5108.92024979332
"349",2010,36,5484.38648025785
"350",2010,37,6434.1423415478
"351",2010,38,10189.7527943707
"352",2010,39,11047.2571288079
"353",2010,40,22479.5977954275
"354",2010,41,34892.989051843
"355",2010,42,42258.9214387411
"356",2010,43,48196.3404049162
"357",2010,44,102486.48204202
"358",2010,45,144182.498046205
"359",2010,46,223308.733526301
"360",2010,47,295850.313367981
"361",2010,48,244709.081535657
"362",2010,49,304650.018385831
"363",2010,50,559076.388267356
"364",2010,51,884901.352216571
"365",2010,52,764274.431784951
"366",2011,1,457895.264526738
"367",2011,2,518901.064894514
"368",2011,3,726136.454917165
"369",2011,4,933197.712162241
"370",2011,5,1118751.33625307
"371",2011,6,1059121.45526871
"372",2011,7,1127860.37517422
"373",2011,8,971096.03375679
"374",2011,9,666171.597225275
"375",2011,10,503331.037826078
"376",2011,11,414131.671144272
"377",2011,12,287730.540836853
"378",2011,13,224567.506061767
"379",2011,14,192223.564718166
"380",2011,15,119566.690039277
"381",2011,16,75609.5717088699
"382",2011,17,56640.7465364784
"383",2011,18,23997.6088649342
"384",2011,19,15837.6052298288
"385",2011,20,13827.1307620175
"386",2011,21,5955.42300288148
"387",2011,22,8546.19757994999
"388",2011,23,5419.07899327705
"389",2011,24,0
"390",2011,25,3967.61987485942
"391",2011,26,1661.32340388243
"392",2011,27,1779.47436204141
"393",2011,28,5873.46537906751
"394",2011,29,7211.36601203449
"395",2011,30,1639.96713254123
"396",2011,31,4220.04433015414
"397",2011,32,2938.50484413684
"398",2011,33,4522.63285362427
"399",2011,34,8848.54848197326
"400",2011,35,1393.47950914062
"401",2011,36,2840.98445415114
"402",2011,37,5186.6313619485
