"","YEAR","WEEK","inci.A.H3"
"1",2004,1,867108.66555337
"2",2004,2,487373.904794053
"3",2004,3,296328.311480297
"4",2004,4,175958.37135024
"5",2004,5,117675.604774755
"6",2004,6,65662.2778501946
"7",2004,7,58369.7197263709
"8",2004,8,30735.0365242733
"9",2004,9,11117.5980367222
"10",2004,10,10374.3406566947
"11",2004,11,14628.2943266891
"12",2004,12,13483.8560037133
"13",2004,13,9979.67456252992
"14",2004,14,NA
"15",2004,15,NA
"16",2004,16,20767.4572567182
"17",2004,17,NA
"18",2004,18,NA
"19",2004,19,NA
"20",2004,20,NA
"21",2004,21,6687.7215284916
"22",2004,22,NA
"23",2004,23,NA
"24",2004,24,NA
"25",2004,25,5646.98293027078
"26",2004,26,2253.36815525864
"27",2004,27,NA
"28",2004,28,NA
"29",2004,29,NA
"30",2004,30,NA
"31",2004,31,2928.72406935155
"32",2004,32,4265.68162550864
"33",2004,33,NA
"34",2004,34,NA
"35",2004,35,14078.2842434817
"36",2004,36,NA
"37",2004,37,15329.8687946677
"38",2004,38,9164.51608835206
"39",2004,39,37213.2755544262
"40",2004,40,11318.0593150684
"41",2004,41,18116.3331944377
"42",2004,42,36225.5998881042
"43",2004,43,32129.3902649687
"44",2004,44,37020.9159096611
"45",2004,45,47402.2831995559
"46",2004,46,81107.3148835569
"47",2004,47,60240.1819389889
"48",2004,48,112652.073504525
"49",2004,49,178460.256616007
"50",2004,50,260638.832347648
"51",2004,51,677868.360383314
"52",2004,52,1104527.25374517
"53",2005,1,1030287.12970523
"54",2005,2,914216.617635569
"55",2005,3,1354618.82070328
"56",2005,4,1753073.38619138
"57",2005,5,2572779.57993217
"58",2005,6,2914862.11194111
"59",2005,7,2756506.18241433
"60",2005,8,2099454.77084534
"61",2005,9,1407160.64054813
"62",2005,10,979466.266444438
"63",2005,11,766946.630937393
"64",2005,12,474411.329268481
"65",2005,13,230410.558126717
"66",2005,14,165077.25616231
"67",2005,15,66038.4374404664
"68",2005,16,57594.0090911782
"69",2005,17,37381.035349384
"70",2005,18,25444.7233103349
"71",2005,19,28472.3467505982
"72",2005,20,38122.2228260946
"73",2005,21,20682.460530177
"74",2005,22,17567.5837166215
"75",2005,23,7600.31241263757
"76",2005,24,10160.3265814074
"77",2005,25,13752.09368977
"78",2005,26,NA
"79",2005,27,2318.61142802983
"80",2005,28,NA
"81",2005,29,NA
"82",2005,30,1763.3117390783
"83",2005,31,NA
"84",2005,32,8651.37271758999
"85",2005,33,0
"86",2005,34,7096.49131235157
"87",2005,35,9544.65362877641
"88",2005,36,2226.72880934565
"89",2005,37,7363.79222980352
"90",2005,38,3612.96140430672
"91",2005,39,10086.7429906584
"92",2005,40,16838.9095948915
"93",2005,41,14317.5177615993
"94",2005,42,28135.4684793806
"95",2005,43,14373.8142964673
"96",2005,44,25732.3381292773
"97",2005,45,41021.4876509764
"98",2005,46,40973.8615611968
"99",2005,47,71503.020240776
"100",2005,48,121470.788772549
"101",2005,49,259648.170451214
"102",2005,50,508104.18901951
"103",2005,51,953466.787328967
"104",2005,52,1178845.11582929
"105",2006,1,813921.369970485
"106",2006,2,755162.186368226
"107",2006,3,823202.819323363
"108",2006,4,988721.231591425
"109",2006,5,1058087.85771928
"110",2006,6,1151961.45445311
"111",2006,7,1374138.44149207
"112",2006,8,1470907.5566117
"113",2006,9,1394424.71019295
"114",2006,10,1257152.68439504
"115",2006,11,863252.594223916
"116",2006,12,531095.249097861
"117",2006,13,403951.814367636
"118",2006,14,186931.343385341
"119",2006,15,147960.201236074
"120",2006,16,69130.3084573609
"121",2006,17,12540.2888496801
"122",2006,18,38218.4316342358
"123",2006,19,0
"124",2006,20,8066.68031979634
"125",2006,21,0
"126",2006,22,0
"127",2006,23,0
"128",2006,24,0
"129",2006,25,0
"130",2006,26,3611.5935058027
"131",2006,27,0
"132",2006,28,21083.908188048
"133",2006,29,NA
"134",2006,30,6246.28817996971
"135",2006,31,0
"136",2006,32,0
"137",2006,33,0
"138",2006,34,0
"139",2006,35,0
"140",2006,36,0
"141",2006,37,0
"142",2006,38,0
"143",2006,39,0
"144",2006,40,8522.13118242393
"145",2006,41,3493.51154373167
"146",2006,42,12884.227020789
"147",2006,43,8460.26052872598
"148",2006,44,3728.91912604116
"149",2006,45,5588.26951636379
"150",2006,46,7271.21525099922
