"","YEAR","WEEK","subtype","inci"
"1",2004,1,"inci.A.H1",0
"2",2004,1,"inci.A.H3",867108.66555337
"3",2004,1,"inci.B",9148.86048063345
"4",2004,2,"inci.A.H1",0
"5",2004,2,"inci.A.H3",487373.904794053
"6",2004,2,"inci.B",4873.73904794053
"7",2004,3,"inci.A.H1",0
"8",2004,3,"inci.A.H3",296328.311480297
"9",2004,3,"inci.B",3459.08534801903
"10",2004,4,"inci.A.H1",0
"11",2004,4,"inci.A.H3",175958.37135024
"12",2004,4,"inci.B",3238.497632213
"13",2004,5,"inci.A.H1",2558.16532119033
"14",2004,5,"inci.A.H3",117675.604774755
"15",2004,5,"inci.B",2290.16704944658
"16",2004,6,"inci.A.H1",0
"17",2004,6,"inci.A.H3",65662.2778501946
"18",2004,6,"inci.B",5471.85648751622
"19",2004,7,"inci.A.H1",0
"20",2004,7,"inci.A.H3",58369.7197263709
"21",2004,7,"inci.B",9728.28662106181
"22",2004,8,"inci.A.H1",0
"23",2004,8,"inci.A.H3",30735.0365242733
"24",2004,8,"inci.B",14185.4014727415
"25",2004,9,"inci.A.H1",0
"26",2004,9,"inci.A.H3",11117.5980367222
"27",2004,9,"inci.B",8894.07842937773
"28",2004,10,"inci.A.H1",0
"29",2004,10,"inci.A.H3",10374.3406566947
"30",2004,10,"inci.B",7780.755492521
"31",2004,11,"inci.A.H1",0
"32",2004,11,"inci.A.H3",14628.2943266891
"33",2004,11,"inci.B",2659.68987757984
"34",2004,12,"inci.A.H1",0
"35",2004,12,"inci.A.H3",13483.8560037133
"36",2004,12,"inci.B",22473.0933395222
"37",2004,13,"inci.A.H1",0
"38",2004,13,"inci.A.H3",9979.67456252992
"39",2004,13,"inci.B",11227.1338828462
"40",2004,14,"inci.A.H1",NA
"41",2004,14,"inci.A.H3",NA
"42",2004,14,"inci.B",10548.8945052902
"43",2004,15,"inci.A.H1",NA
"44",2004,15,"inci.A.H3",NA
"45",2004,15,"inci.B",18739.6974036772
"46",2004,16,"inci.A.H1",0
"47",2004,16,"inci.A.H3",20767.4572567182
"48",2004,16,"inci.B",17572.4638326077
"49",2004,17,"inci.A.H1",NA
"50",2004,17,"inci.A.H3",NA
"51",2004,17,"inci.B",10150.8552027423
"52",2004,18,"inci.A.H1",NA
"53",2004,18,"inci.A.H3",NA
"54",2004,18,"inci.B",10227.6557094602
"55",2004,19,"inci.A.H1",NA
"56",2004,19,"inci.A.H3",NA
"57",2004,19,"inci.B",3715.44065109718
"58",2004,20,"inci.A.H1",NA
"59",2004,20,"inci.A.H3",NA
"60",2004,20,"inci.B",6446.2896552174
"61",2004,21,"inci.A.H1",0
"62",2004,21,"inci.A.H3",6687.7215284916
"63",2004,21,"inci.B",6687.7215284916
"64",2004,22,"inci.A.H1",NA
"65",2004,22,"inci.A.H3",NA
"66",2004,22,"inci.B",12471.2529897314
"67",2004,23,"inci.A.H1",NA
"68",2004,23,"inci.A.H3",NA
"69",2004,23,"inci.B",5471.07616246073
"70",2004,24,"inci.A.H1",NA
"71",2004,24,"inci.A.H3",NA
"72",2004,24,"inci.B",4582.85298382353
"73",2004,25,"inci.A.H1",0
"74",2004,25,"inci.A.H3",5646.98293027078
"75",2004,25,"inci.B",2823.49146513539
"76",2004,26,"inci.A.H1",0
"77",2004,26,"inci.A.H3",2253.36815525864
"78",2004,26,"inci.B",4506.73631051729
"79",2004,27,"inci.A.H1",NA
"80",2004,27,"inci.A.H3",NA
"81",2004,27,"inci.B",4020.62155006267
"82",2004,28,"inci.A.H1",NA
"83",2004,28,"inci.A.H3",NA
"84",2004,28,"inci.B",6756.17097754141
"85",2004,29,"inci.A.H1",NA
"86",2004,29,"inci.A.H3",NA
"87",2004,29,"inci.B",7176.52770754112
"88",2004,30,"inci.A.H1",NA
"89",2004,30,"inci.A.H3",NA
"90",2004,30,"inci.B",NA
"91",2004,31,"inci.A.H1",0
"92",2004,31,"inci.A.H3",2928.72406935155
"93",2004,31,"inci.B",2928.72406935155
"94",2004,32,"inci.A.H1",0
"95",2004,32,"inci.A.H3",4265.68162550864
"96",2004,32,"inci.B",0
"97",2004,33,"inci.A.H1",NA
"98",2004,33,"inci.A.H3",NA
"99",2004,33,"inci.B",3652.76992726342
"100",2004,34,"inci.A.H1",NA
"101",2004,34,"inci.A.H3",NA
"102",2004,34,"inci.B",3115.33920695462
"103",2004,35,"inci.A.H1",0
"104",2004,35,"inci.A.H3",14078.2842434817
"105",2004,35,"inci.B",0
"106",2004,36,"inci.A.H1",NA
"107",2004,36,"inci.A.H3",NA
"108",2004,36,"inci.B",9378.83206526958
"109",2004,37,"inci.A.H1",0
"110",2004,37,"inci.A.H3",15329.8687946677
"111",2004,37,"inci.B",6131.9475178671
"112",2004,38,"inci.A.H1",0
"113",2004,38,"inci.A.H3",9164.51608835206
"114",2004,38,"inci.B",3054.83869611735
"115",2004,39,"inci.A.H1",0
"116",2004,39,"inci.A.H3",37213.2755544262
"117",2004,39,"inci.B",6202.21259240437
"118",2004,40,"inci.A.H1",0
"119",2004,40,"inci.A.H3",11318.0593150684
"120",2004,40,"inci.B",5659.0296575342
"121",2004,41,"inci.A.H1",0
"122",2004,41,"inci.A.H3",18116.3331944377
"123",2004,41,"inci.B",1393.56409187983
"124",2004,42,"inci.A.H1",0
"125",2004,42,"inci.A.H3",36225.5998881042
"126",2004,42,"inci.B",14231.4856703267
"127",2004,43,"inci.A.H1",0
"128",2004,43,"inci.A.H3",32129.3902649687
"129",2004,43,"inci.B",8996.22927419123
"130",2004,44,"inci.A.H1",0
"131",2004,44,"inci.A.H3",37020.9159096611
"132",2004,44,"inci.B",20425.3329156751
"133",2004,45,"inci.A.H1",0
"134",2004,45,"inci.A.H3",47402.2831995559
"135",2004,45,"inci.B",29938.2841260353
"136",2004,46,"inci.A.H1",0
"137",2004,46,"inci.A.H3",81107.3148835569
"138",2004,46,"inci.B",23989.4875007703
