"","YEAR","WEEK","TOTAL.SPECIMENS","PERCENT.POSITIVE","B","H3N2v","pos_prop","pos_specimens","subtyped.A.H1","subtyped.A.H3","ratio.A.H1","ratio.A.H3","UNSUBTYPED.A.H1.EST","UNSUBTYPED.A.H3.EST","PROP.A.H1.EST","PROP.A.H3.EST","PROP.B.EST","unsubtyped.A","ILI.prop","X.UNWEIGHTED.ILI","AGE.0.4","AGE.25.49","AGE.25.64","AGE.5.24","AGE.50.64","AGE.65","ILITOTAL","NUM..OF.PROVIDERS","TOTAL.PATIENTS","prop","month","Resident.population","cases.A.H1","cases.A.H3","cases.B","inci.A.H1","inci.A.H3","inci.B"
"1",2004,1,6936,12.4279,9,0,0.124279123414072,862,0,280,0,1,0,573,0,0.989559164733179,0.0104408352668213,573,2.89129,2.41833,1930,"X","2605",2299,"X",768,7602,1160,314349,0.0241833121785022,1,291553190,0,103669116.749709,1093812.48622202,0,0.355575312860438,0.00375167387543253
"2",2004,2,5411,9.33284,5,0,0.0933284051007208,505,0,169,0,1,0,331,0,0.99009900990099,0.0099009900990099,331,2.10429,1.80906,1679,"X","1586",1857,"X",461,5583,1141,308614,0.0180905597283338,1,291553190,0,56691227.3318333,566912.273318333,0,0.194445573831085,0.00194445573831085
"3",2004,3,4329,6.00601,3,0,0.0600600600600601,260,0,96,0,1,0,161,0,0.988461538461539,0.0115384615384615,161,1.88696,1.71202,1721,"X","1276",1604,"X",360,4961,1084,289774,0.017120238530717,1,291553190,0,32660740.6565989,381253.781983645,0,0.112023266343266,0.00130766458766459
"4",2004,4,4166,3.98464,3,0,0.0398463754200672,166,0,93,0,1,0,70,0,0.981927710843373,0.0180722891566265,70,1.7766,1.5425,1487,"X","1067",1543,"X",339,4436,1071,287586,0.0154249511450488,1,291553190,0,20266361.9223961,373000.526179069,0,0.0695117138742199,0.00127935669707153
"5",2004,5,3661,2.9227,2,0,0.0292269871619776,107,1,46,0.0212765957446809,0.978723404255319,1.23404255319149,56.7659574468085,0.0208789023662756,0.960429508848678,0.0186915887850467,58,1.46001,1.43787,1454,"X","1047",1448,"X",302,4251,1054,295646,0.0143786826136663,1,291553190,259755.85183591,11948769.1844519,232543.334024529,0.000890938122940483,0.0409831536552622,0.000797601748156241
"6",2004,6,3530,1.84136,5,0,0.018413597733711,65,0,24,0,1,0,36,0,0.923076923076923,0.0769230769230769,36,1.37787,1.32427,1420,"X","889",1297,"X",218,3824,986,288762,0.0132427396956663,2,291716878,0,6831976.22702312,569331.352251926,0,0.0234198866855524,0.00195165722379603
"7",2004,7,3136,1.78571,8,0,0.0178571428571429,56,0,29,0,1,0,19,0,0.857142857142857,0.142857142857143,19,1.30532,1.30726,1301,"X","876",1255,"X",259,3691,1004,282347,0.0130725667352584,2,291716878,0,5828324.62026979,971387.436711632,0,0.019979387755102,0.00332989795918367
"8",2004,8,2559,1.48496,12,0,0.0148495506057054,38,0,16,0,1,0,10,0,0.684210526315789,0.315789473684211,10,1.08691,1.03698,956,"X","719",1038,"X",203,2916,948,281202,0.0103697697740414,2,291716878,0,3221500.50353321,1486846.3862461,0,0.0110432434544744,0.0050968815943728
"9",2004,9,2651,0.678989,8,0,0.00678989060731799,18,0,4,0,1,0,6,0,0.555555555555556,0.444444444444444,6,0.991888,1.01032,925,"X","682",910,"X",227,2744,894,271597,0.0101032043800189,2,291716878,0,1091476.69062868,873181.352502947,0,0.00374156167483968,0.00299324933987175
"10",2004,10,2369,0.590967,6,0,0.00590966652596032,14,0,2,0,1,0,6,0,0.571428571428571,0.428571428571429,6,1.02765,1.05249,878,"X","764",888,"X",178,2708,897,257294,0.0105249247942043,3,291888226,0,1012947.01713432,759710.262850739,0,0.00347032503165893,0.0026027437737442
"11",2004,11,2239,0.580616,2,0,0.00580616346583296,13,0,4,0,1,0,7,0,0.846153846153846,0.153846153846154,7,1.0579,1.02009,730,"X","756",826,"X",175,2487,849,243802,0.010200900730921,3,291888226,0,1517049.61908861,275827.203470657,0,0.00519736489504243,0.00094497543546226
"12",2004,12,1801,1.33259,15,0,0.0133259300388673,24,0,5,0,1,0,4,0,0.375,0.625,4,0.849361,0.924419,760,"X","628",733,"X",179,2300,859,248805,0.00924418721488716,3,291888226,0,1238904.09756373,2064840.16260621,0,0.00424444697390339,0.00707407828983898
"13",2004,13,1850,0.918919,9,0,0.00918918918918919,17,0,3,0,1,0,5,0,0.470588235294118,0.529411764705882,5,0.747127,0.790645,610,"X","495",611,"X",142,1858,828,234998,0.00790645026766185,3,291888226,0,943038.160547901,1060917.93061639,0,0.00323081945945946,0.00363467189189189
"14",2004,14,1778,0.506187,8,0,0.00506186726659168,9,0,0,NA,NA,NA,NA,NA,NA,0.888888888888889,1,0.661708,0.80261,583,"X","440",566,"X",116,1705,774,212432,0.00802609776304888,4,292108553,NA,NA,869698.836393809,NA,NA,0.00297731383577053
"15",2004,15,1564,0.959079,12,0,0.00959079283887468,15,0,0,NA,NA,NA,NA,NA,NA,0.8,3,0.679514,0.83613,545,"X","500",573,"X",131,1749,755,209178,0.00836129994550096,4,292108553,NA,NA,1522955.38068984,NA,NA,0.00521366240409207
"16",2004,16,1449,1.65631,11,0,0.0165631469979296,24,0,2,0,1,0,11,0,0.541666666666667,0.458333333333333,11,0.633071,0.792436,501,"X","461",511,"X",142,1615,679,203802,0.00792435795527031,4,292108553,0,1659096.5485379,1403850.92568592,0,0.00567972601794341,0.00480592201518289
"17",2004,17,1377,0.798838,7,0,0.00798838053740015,11,0,0,NA,NA,NA,NA,NA,NA,0.636363636363636,4,0.569894,0.683588,470,"X","349",404,"X",108,1331,658,194708,0.00683587731372106,4,292108553,NA,NA,846257.357969262,NA,NA,0.00289706463326071
"18",2004,18,1298,0.693374,6,0,0.00693374422187982,9,0,0,NA,NA,NA,NA,NA,NA,0.666666666666667,3,0.591357,0.757452,435,"X","383",491,"X",85,1394,629,184038,0.00757452265293037,4,292108553,NA,NA,798492.007287,NA,NA,0.00273354545454545
"19",2004,19,1241,0.16116,2,0,0.0016116035455278,2,0,0,NA,NA,NA,NA,NA,NA,1,0,0.589044,0.788585,449,"X","361",443,"X",74,1327,599,168276,0.00788585419192279,5,292350184,NA,NA,277529.608032387,NA,NA,0.000949305398871877
"20",2004,20,1105,0.361991,3,0,0.00361990950226244,4,0,0,NA,NA,NA,NA,NA,NA,0.75,1,0.67864,0.812171,451,"X","337",380,"X",94,1262,553,155386,0.00812170980654628,5,292350184,NA,NA,538643.969782154,NA,NA,0.00184246153846154
